#### Year,  nbr match total, nbr of Days played,  nbr matchs first day, nbr matchs second day, ... 
2005,759,38,0,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,
2004,759,38,0,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,
2003,759,38,0,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,
2002,685,38,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
2001,685,38,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
2000,685,38,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1999,685,38,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1998,767,42,0,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,
1997,841,42,0,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,11,11,0,0,0,0,0,0,0,
1996,841,42,0,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,11,11,0,0,0,0,0,0,0,
1995,841,42,0,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,11,11,0,0,0,0,0,0,0,
1994,841,42,0,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,11,11,0,0,0,0,0,0,0,
1993,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1992,957,38,0,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1991,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1990,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1989,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1988,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1987,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1986,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1985,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1984,1027,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,
1983,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1982,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1981,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1980,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1979,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1978,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1977,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1976,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1975,957,38,0,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1974,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1973,991,38,0,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1972,1099,38,0,34,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1971,1099,38,0,34,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
1970,545,34,0,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1969,725,42,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,
1968,700,38,0,18,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,18,18,19,19,18,18,18,18,19,17,18,17,18,19,18,18,18,19,18,19,15,0,0,0,0,0,0,0,0,0,0,0,
1967,685,38,0,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,
