#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
FCSochaux-Montbéliard,NîmesOlympique,0,0,2016,32,69,90
GazélecFCAjaccio,ASSaint-Etienne,0,2,2016,32,72,24
HavreAC,StadeLavallois,2,0,2016,32,77,136
ParisSaint-Germain,OGCNice,4,1,2016,32,101,91
RCLens,AJAuxerre,3,0,2016,32,106,6
RedStarFC,ParisFC,2,4,2016,32,112,99
SCBastia,OlympiquedeMarseille,2,1,2016,32,118,94
StadeRennaisFC,StadedeReims,3,1,2016,32,138,134
ToulouseFC,SMCaen,2,0,2016,32,140,123
ToursFC,StadeBrestois29,2,1,2016,32,141,131
USCréteil-Lusitanos,ClermontFoot,0,3,2016,32,147,34
ValenciennesFC,EvianTGFC,1,0,2016,32,155,51
ACAjaccio,ChamoisNiortais,2,0,2016,31,2,31
AJAuxerre,FBBP01,1,2,2016,31,6,53
AngersSCO,FCLorient,5,1,2016,31,9,59
ASNancyLorraine,RCLens,1,0,2016,31,21,106
ASSaint-Etienne,MontpellierHéraultSC,3,0,2016,31,24,88
ClermontFoot,RedStarFC,0,2,2016,31,34,112
EvianTGFC,FCSochaux-Montbéliard,0,0,2016,31,51,69
GirondinsdeBordeaux,SCBastia,1,1,2016,31,74,118
HavreAC,ToursFC,2,0,2016,31,77,141
LOSC,ToulouseFC,1,0,2016,31,84,140
NîmesOlympique,USCréteil-Lusitanos,1,3,2016,31,90,147
OGCNice,GazélecFCAjaccio,3,0,2016,31,91,72
OlympiquedeMarseille,StadeRennaisFC,2,5,2016,31,94,138
OlympiqueLyonnais,FCNantes,2,0,2016,31,96,65
ParisFC,FCMetz,1,2,2016,31,99,61
ParisSaint-Germain,ASMonaco,0,2,2016,31,101,20
SMCaen,ESTACTroyes,2,1,2016,31,123,49
StadeBrestois29,DijonFCO,0,0,2016,31,131,43
StadedeReims,EAGuingamp,0,1,2016,31,134,45
StadeLavallois,ValenciennesFC,0,3,2016,31,136,155
ASMonaco,StadedeReims,2,2,2016,30,20,134
ChamoisNiortais,ParisFC,2,1,2016,30,31,99
DijonFCO,NîmesOlympique,0,1,2016,30,43,90
EAGuingamp,ASSaint-Etienne,2,0,2016,30,45,24
ESTACTroyes,ParisSaint-Germain,0,9,2016,30,49,101
FBBP01,ASNancyLorraine,2,0,2016,30,53,21
FCLorient,OlympiquedeMarseille,1,1,2016,30,59,94
FCMetz,ACAjaccio,3,2,2016,30,61,2
FCNantes,AngersSCO,2,0,2016,30,65,9
FCSochaux-Montbéliard,HavreAC,1,0,2016,30,69,77
GazélecFCAjaccio,SMCaen,1,0,2016,30,72,123
MontpellierHéraultSC,OGCNice,0,2,2016,30,88,91
RCLens,ClermontFoot,1,1,2016,30,106,34
RedStarFC,AJAuxerre,0,2,2016,30,112,6
SCBastia,LOSC,1,2,2016,30,118,84
StadeRennaisFC,OlympiqueLyonnais,2,2,2016,30,138,96
ToulouseFC,GirondinsdeBordeaux,4,0,2016,30,140,74
ToursFC,StadeLavallois,1,1,2016,30,141,136
USCréteil-Lusitanos,EvianTGFC,0,0,2016,30,147,51
ValenciennesFC,StadeBrestois29,0,1,2016,30,155,131
ACAjaccio,EvianTGFC,1,1,2016,3,2,51
AJAuxerre,StadeLavallois,2,3,2016,3,6,136
ASNancyLorraine,StadeBrestois29,3,0,2016,3,21,131
ChamoisNiortais,FCSochaux-Montbéliard,1,1,2016,3,31,69
ClermontFoot,NîmesOlympique,1,0,2016,3,34,90
FBBP01,DijonFCO,2,1,2016,3,53,43
FCLorient,ASSaint-Etienne,0,1,2016,3,59,24
FCMetz,ValenciennesFC,2,0,2016,3,61,155
FCNantes,StadedeReims,1,0,2016,3,65,134
GazélecFCAjaccio,AngersSCO,0,2,2016,3,72,9
LOSC,GirondinsdeBordeaux,0,0,2016,3,84,74
MontpellierHéraultSC,ParisSaint-Germain,0,1,2016,3,88,101
OGCNice,SMCaen,2,1,2016,3,91,123
OlympiquedeMarseille,ESTACTroyes,6,0,2016,3,94,49
OlympiqueLyonnais,StadeRennaisFC,1,2,2016,3,96,138
ParisFC,HavreAC,3,0,2016,3,99,77
RCLens,USCréteil-Lusitanos,1,1,2016,3,106,147
RedStarFC,ToursFC,1,1,2016,3,112,141
SCBastia,EAGuingamp,3,0,2016,3,118,45
ToulouseFC,ASMonaco,1,1,2016,3,140,20
ACAjaccio,ParisFC,0,0,2016,29,2,99
AJAuxerre,ChamoisNiortais,1,1,2016,29,6,31
AngersSCO,ASSaint-Etienne,0,0,2016,29,9,24
ASNancyLorraine,RedStarFC,2,0,2016,29,21,112
ClermontFoot,FCMetz,2,1,2016,29,34,61
EvianTGFC,DijonFCO,1,2,2016,29,51,43
GirondinsdeBordeaux,GazélecFCAjaccio,1,1,2016,29,74,72
HavreAC,ValenciennesFC,3,2,2016,29,77,155
LOSC,StadedeReims,2,0,2016,29,84,134
NîmesOlympique,FBBP01,1,1,2016,29,90,53
OGCNice,ESTACTroyes,2,1,2016,29,91,49
OlympiquedeMarseille,ToulouseFC,1,1,2016,29,94,140
